         1003195 function calls (1003010 primitive calls) in 2.108 seconds

   Ordered by: cumulative time
   List reduced from 928 to 65 due to restriction <65>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      108    0.054    0.000    0.054    0.000 rcs_operators.py:1313(_far_hankel1_into)
     3076    0.039    0.000    0.039    0.000 {built-in method numpy._core._multiarray_umath.c_einsum}
    27648    0.036    0.000    0.036    0.000 rcs_operators.py:41(_linear_param_to_point)
     8148    0.033    0.000    0.033    0.000 {method 'at' of 'numpy.ufunc' objects}
    28829    0.032    0.000    0.066    0.000 _linalg.py:2598(norm)
     6912    0.026    0.000    0.110    0.000 rcs_operators.py:62(_linear_shared_interval_endpoint_info)
        2    0.025    0.013    0.200    0.100 rcs_operators.py:209(_integrate_linear_pairs_box_sk_batched)
        4    0.025    0.006    0.136    0.034 sweep_compression.py:15(solve)
    15146    0.024    0.000    0.024    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.024    0.012    1.060    0.530 rcs_operators.py:1413(_assemble_linear_operator_matrices_multi)
        2    0.017    0.008    0.017    0.008 _decomp_lu.py:19(lu_factor)
    25749    0.012    0.000    0.012    0.000 {method 'dot' of 'numpy.ndarray' objects}
      364    0.012    0.000    0.012    0.000 rcs_operators.py:1280(_far_kernel_argument)
     9216    0.012    0.000    0.012    0.000 rcs_operators.py:506(map_many)
    68469    0.012    0.000    0.012    0.000 {built-in method numpy.asarray}
      216    0.011    0.000    0.309    0.001 cpu_kernels.py:219(evaluate)
     5378    0.011    0.000    0.018    0.000 _stride_tricks_impl.py:447(_broadcast_to)
       12    0.010    0.001    0.010    0.001 cpu_kernels.py:22(sinc_and_derivative)
      768    0.010    0.000    0.030    0.000 rcs_operators.py:760(_dgreen_dn_src_array)
        4    0.010    0.002    0.015    0.004 cpu_kernels.py:37(moments)
        4    0.009    0.002    0.026    0.006 cpu_kernels.py:101(incident_loads)
     4610    0.008    0.000    0.012    0.000 _shape_base_impl.py:607(column_stack)
      768    0.008    0.000    0.042    0.000 rcs_operators.py:746(_dgreen_dn_obs_array)
    27648    0.008    0.000    0.043    0.000 rcs_operators.py:44(_linear_interval_point)
        2    0.008    0.004    0.012    0.006 rcs_operators.py:2502(_build_linear_junction_constraints)
    13850    0.007    0.000    0.014    0.000 {built-in method builtins.sum}
      768    0.007    0.000    0.026    0.000 rcs_operators.py:297(_single_layer_self_block_exact)
     1536    0.007    0.000    0.048    0.000 rcs_operators.py:740(_green_2d_array)
     9911    0.007    0.000    0.013    0.000 fromnumeric.py:86(_wrapreduction_any_all)
    20829    0.006    0.000    0.006    0.000 {built-in method numpy.array}
       20    0.006    0.000    0.006    0.000 _decomp_lu.py:193(_lu_solve)
        1    0.005    0.005    0.009    0.009 rcs_operators.py:2225(_emit)


