bias_mm,loss_at_peak_dB,loss_within_20dB_dB,loss_any_lit_dB
0.02000,8.30265,8.77100,24.26912
0.05000,3.40206,7.74412,24.26912
0.10000,0.00000,1.08695,24.26912
0.30000,0.00000,0.00000,24.26912
1.00000,0.00000,0.00000,0.00000
4.00000,0.00000,0.00000,0.00000
