airfoil Base mesh: VV
airfoil 0 1448 Base mesh: VV: Initializing solver
airfoil Fine mesh: HH elapsed 2940.9 RSS MiB 1905
airfoil Fine mesh: HH elapsed 2970.9 RSS MiB 1940
airfoil Fine mesh: HH elapsed 3000.9 RSS MiB 1944
airfoil Fine mesh: HH elapsed 3030.9 RSS MiB 1950
airfoil Fine mesh: HH elapsed 3060.9 RSS MiB 1981
airfoil Fine mesh: HH elapsed 3090.9 RSS MiB 2145
airfoil Fine mesh: HH elapsed 3120.9 RSS MiB 2167
airfoil Fine mesh: HH elapsed 3150.9 RSS MiB 2291
airfoil Fine mesh: HH elapsed 3180.9 RSS MiB 2775
airfoil Fine mesh: HH elapsed 3210.9 RSS MiB 2791
airfoil 1448 1448 Fine mesh: HH: Experimental CPU: solved 361 of 361 angles at 10.0 GHz
airfoil 3214.3978804 True 
